標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000,5747.8,2873.9,2874,6670.0,3335.0,3335
2,68000,63000,73000,6738.8,3369.4,3369,7820.0,3910.0,3910
3,78000,73000,83000,7729.8,3864.9,3865,8970.0,4485.0,4485
4,88000,83000,93000,8720.8,4360.4,4360,10120.0,5060.0,5060
5,98000,93000,101000,9711.8,4855.9,4856,11270.0,5635.0,5635
6,104000,101000,107000,10306.4,5153.2,5153,11960.0,5980.0,5980
7,110000,107000,114000,10901,5450.5,5450,12650,6325.0,6325
8,118000,114000,122000,11693.8,5846.9,5847,13570.0,6785.0,6785
9,126000,122000,130000,12486.6,6243.3,6243,14490.0,7245.0,7245
10,134000,130000,138000,13279.4,6639.7,6640,15410.0,7705.0,7705
11,142000,138000,146000,14072.2,7036.1,7036,16330.0,8165.0,8165
12,150000,146000,155000,14865,7432.5,7432,17250,8625.0,8625
13,160000,155000,165000,15856,7928,7928,18400,9200,9200
14,170000,165000,175000,16847,8423.5,8423,19550,9775.0,9775
15,180000,175000,185000,17838,8919,8919,20700,10350,10350
16,190000,185000,195000,18829,9414.5,9414,21850,10925.0,10925
17,200000,195000,210000,1.982E+4,9.91E+3,9910,2.300E+4,1.150E+4,11500
18,220000,210000,230000,21802,10901,10901,25300,12650,12650
19,240000,230000,250000,23784,11892,11892,27600,13800,13800
20,260000,250000,270000,25766,12883,12883,29900,14950,14950
21,280000,270000,290000,27748,13874,13874,32200,16100,16100
22,300000,290000,310000,2.973E+4,14865,14865,3.450E+4,17250,17250
23,320000,310000,330000,31712,15856,15856,36800,18400,18400
24,340000,330000,350000,33694,16847,16847,39100,19550,19550
25,360000,350000,370000,35676,17838,17838,41400,20700,20700
26,380000,370000,395000,37658,18829,18829,43700,21850,21850
27,410000,395000,425000,40631,20315.5,20315,47150,23575.0,23575
28,440000,425000,455000,43604,21802,21802,50600,25300,25300
29,470000,455000,485000,46577,23288.5,23288,54050,27025.0,27025
30,500000,485000,515000,4.955E+4,24775,24775,5.750E+4,28750,28750
31,530000,515000,545000,52523,26261.5,26261,60950,30475.0,30475
32,560000,545000,575000,55496,27748,27748,64400,32200,32200
33,590000,575000,605000,58469,29234.5,29234,67850,33925.0,33925
34,620000,605000,635000,61442,30721,30721,71300,35650,35650
35,650000,635000,665000,64415,32207.5,32207,74750,37375.0,37375
36,680000,665000,695000,67388,33694,33694,78200,39100,39100
37,710000,695000,730000,70361,35180.5,35180,81650,40825.0,40825
38,750000,730000,770000,74325,37162.5,37162,86250,43125.0,43125
39,790000,770000,810000,78289,39144.5,39144,90850,45425.0,45425
40,830000,810000,855000,82253,41126.5,41126,95450,47725.0,47725
41,880000,855000,905000,87208,43604,43604,101200,50600,50600
42,930000,905000,955000,92163,46081.5,46081,106950,53475.0,53475
43,980000,955000,1005000,97118,48559,48559,112700,56350,56350
44,1030000,1005000,1055000,102073,51036.5,51036,118450,59225.0,59225
45,1090000,1055000,1115000,108019,54009.5,54009,125350,62675.0,62675
46,1150000,1115000,1175000,113965,56982.5,56982,132250,66125.0,66125
47,1210000,1175000,1235000,119911,59955.5,59955,139150,69575.0,69575
48,1270000,1235000,1295000,125857,62928.5,62928,146050,73025.0,73025
49,1330000,1295000,1355000,131803,65901.5,65901,152950,76475.0,76475
50,1390000,1355000,,137749,68874.5,68874,159850,79925.0,79925
