標準報酬_等級,標準報酬_月額,報酬月額_以上,報酬月額_未満,介護保険の被保険者でない場合_全額,介護保険の被保険者でない場合_折半額,介護保険の被保険者でない場合_控除額,介護保険の被保険者の場合_全額,介護保険の被保険者の場合_折半額,介護保険の被保険者の場合_控除額
1,58000,,63000.0,5689.8,2844.9,2845,6641.0,3320.5,3320
2,68000,63000.0,73000.0,6670.8,3335.4,3335,7786.0,3893.0,3893
3,78000,73000.0,83000.0,7651.8,3825.9,3826,8931.0,4465.5,4465
4,88000,83000.0,93000.0,8632.8,4316.4,4316,10076.0,5038.0,5038
5,98000,93000.0,101000.0,9613.8,4806.9,4807,11221.0,5610.5,5610
6,104000,101000.0,107000.0,10202.4,5101.2,5101,11908.0,5954.0,5954
7,110000,107000.0,114000.0,10791.0,5395.5,5395,12595.0,6297.5,6297
8,118000,114000.0,122000.0,11575.8,5787.9,5788,13511.0,6755.5,6755
9,126000,122000.0,130000.0,12360.6,6180.3,6180,14427.0,7213.5,7213
10,134000,130000.0,138000.0,13145.4,6572.7,6573,15343.0,7671.5,7671
11,142000,138000.0,146000.0,13930.2,6965.1,6965,16259.0,8129.5,8129
12,150000,146000.0,155000.0,14715.0,7357.5,7357,17175.0,8587.5,8587
13,160000,155000.0,165000.0,15696.0,7848.0,7848,18320.0,9160.0,9160
14,170000,165000.0,175000.0,16677.0,8338.5,8338,19465.0,9732.5,9732
15,180000,175000.0,185000.0,17658.0,8829.0,8829,20610.0,10305.0,10305
16,190000,185000.0,195000.0,18639.0,9319.5,9319,21755.0,10877.5,10877
17,200000,195000.0,210000.0,19620.0,9810.0,9810,22900.0,11450.0,11450
18,220000,210000.0,230000.0,21582.0,10791.0,10791,25190.0,12595.0,12595
19,240000,230000.0,250000.0,23544.0,11772.0,11772,27480.0,13740.0,13740
20,260000,250000.0,270000.0,25506.0,12753.0,12753,29770.0,14885.0,14885
21,280000,270000.0,290000.0,27468.0,13734.0,13734,32060.0,16030.0,16030
22,300000,290000.0,310000.0,29430.0,14715.0,14715,34350.0,17175.0,17175
23,320000,310000.0,330000.0,31392.0,15696.0,15696,36640.0,18320.0,18320
24,340000,330000.0,350000.0,33354.0,16677.0,16677,38930.0,19465.0,19465
25,360000,350000.0,370000.0,35316.0,17658.0,17658,41220.0,20610.0,20610
26,380000,370000.0,395000.0,37278.0,18639.0,18639,43510.0,21755.0,21755
27,410000,395000.0,425000.0,40221.0,20110.5,20110,46945.0,23472.5,23472
28,440000,425000.0,455000.0,43164.0,21582.0,21582,50380.0,25190.0,25190
29,470000,455000.0,485000.0,46107.0,23053.5,23053,53815.0,26907.5,26907
30,500000,485000.0,515000.0,49050.0,24525.0,24525,57250.0,28625.0,28625
31,530000,515000.0,545000.0,51993.0,25996.5,25996,60685.0,30342.5,30342
32,560000,545000.0,575000.0,54936.0,27468.0,27468,64120.0,32060.0,32060
33,590000,575000.0,605000.0,57879.0,28939.5,28939,67555.0,33777.5,33777
34,620000,605000.0,635000.0,60822.0,30411.0,30411,70990.0,35495.0,35495
35,650000,635000.0,665000.0,63765.0,31882.5,31882,74425.0,37212.5,37212
36,680000,665000.0,695000.0,66708.0,33354.0,33354,77860.0,38930.0,38930
37,710000,695000.0,730000.0,69651.0,34825.5,34825,81295.0,40647.5,40647
38,750000,730000.0,770000.0,73575.0,36787.5,36787,85875.0,42937.5,42937
39,790000,770000.0,810000.0,77499.0,38749.5,38749,90455.0,45227.5,45227
40,830000,810000.0,855000.0,81423.0,40711.5,40711,95035.0,47517.5,47517
41,880000,855000.0,905000.0,86328.0,43164.0,43164,100760.0,50380.0,50380
42,930000,905000.0,955000.0,91233.0,45616.5,45616,106485.0,53242.5,53242
43,980000,955000.0,1005000.0,96138.0,48069.0,48069,112210.0,56105.0,56105
44,1030000,1005000.0,1055000.0,101043.0,50521.5,50521,117935.0,58967.5,58967
45,1090000,1055000.0,1115000.0,106929.0,53464.5,53464,124805.0,62402.5,62402
46,1150000,1115000.0,1175000.0,112815.0,56407.5,56407,131675.0,65837.5,65837
47,1210000,1175000.0,1235000.0,118701.0,59350.5,59350,138545.0,69272.5,69272
48,1270000,1235000.0,1295000.0,124587.0,62293.5,62293,145415.0,72707.5,72707
49,1330000,1295000.0,1355000.0,130473.0,65236.5,65236,152285.0,76142.5,76142
50,1390000,1355000.0,,136359.0,68179.5,68179,159155.0,79577.5,79577
